"Date of Birth","Date of Birth"
Sunday,Sunday
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Su,Su
Mo,Mo
Tu,Tu
We,We
Th,Th
Fr,Fr
Sa,Sa
January,January
Fabruary,Fabruary
March,March
April,April
May,May
June,June
July,July
August,August
September,September
October,October
November,November
December,December
Jan,Jan
Fab,Fab
Mar,Mar
Apr,Apr
Jun,Jun
Jul,Jul
Aug,Aug
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Dec
"Select Date","Select Date"
